Deploy complete @ Wed Aug 23 2017 14:46:52 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:46:55 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:46:57 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:47:41 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:47:44 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:47:54 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:47:57 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:48:01 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:48:02 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:48:15 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:48:17 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:48:26 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:48:28 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:48:51 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
Deploy complete @ Wed Aug 23 2017 14:48:53 GMT-0700 (PDT). added/changed 3 file(s): assets/airplantman.css, assets/airplantman-min.css, assets/airplantman-min.css.
Deploy complete @ Wed Aug 23 2017 14:49:30 GMT-0700 (PDT). added/changed 3 file(s): assets/app.scss.liquid, assets/main.scss.liquid, assets/responsive.scss.liquid.
